policy,net_profit,revenue,imbalance_cost,degradation_cost,total_reward,delivered,committed,pv_produced,delivery_ratio,battery_cycles,hours,n_episodes,seed
RL Agent (SAC),4896.261812713817,21138.52540765783,16242.263594944015,0.21086272352994584,4896.050949993261,172.2414057001832,81.41904315301198,168.286608,2.436641976771147,1.0543136176497292,48.0,10.0,42
RL Agent (SAC),13763.561141363443,45331.87419381516,31568.313052451715,0.2676248899452707,13763.293516477052,220.73592537130003,111.26538071934237,216.956352,2.1009247075000586,1.3381244497263536,48.0,10.0,123
RL Agent (SAC),1403.213804600228,22397.968960819417,20994.755156219187,0.20438930313880405,1403.0094152991405,152.5700677398757,103.82033579489125,148.42603200000002,1.4164558402490588,1.0219465156940202,48.0,10.0,456
RL Agent (SAC),16544.689486727617,49137.1068521417,32592.417365414072,0.33773134435211893,16544.351755389438,224.07087590347368,97.55432235752653,220.48243200000002,2.711473316597948,1.688656721760595,48.0,10.0,789
RL Agent (SAC),12690.696947536697,57430.15318232427,44739.456234787576,0.2754441809170921,12690.421503358924,211.22645374938116,102.19178433388329,207.37847999999994,2.4317301779092952,1.3772209045854606,48.0,10.0,1024
Conservative (80%),3895.038075317809,20510.116678851533,16615.078603533726,0.2010452339805231,3894.8370300900883,171.9654106951986,151.51145965709762,168.286608,1.173829424090733,1.0052261699026155,48.0,10.0,42
Conservative (80%),11407.224714370877,44475.255485768794,33068.03077139793,0.287445233980523,11406.937269145546,220.27515469519858,196.88448742749304,216.956352,1.1703395648063564,1.4372261699026156,48.0,10.0,123
Conservative (80%),-2639.1487179607875,21777.3788556751,24416.527573635885,0.20604523398052313,-2639.3547631888077,151.60483469519855,182.35202207023536,148.42603200000002,0.8039888801457575,1.0302261699026152,48.0,10.0,456
Conservative (80%),13157.965832183632,48515.79185711009,35357.826024926464,0.19604523398052306,13157.76978695561,224.66123469519863,179.66151396836148,220.48243200000002,1.3847684085815577,0.9802261699026154,48.0,10.0,789
Conservative (80%),6666.671652660964,56582.57552390148,49915.90387124054,0.1914452339805231,6666.480207433237,211.09728269519854,194.5996700107676,207.37847999999994,1.148124248093485,0.9572261699026153,48.0,10.0,1024
Aggressive (100%),-4132.4872622385055,20836.473916714658,24968.961178953166,0.46900413336787594,-4132.956266354291,171.3280819477513,189.38932174925122,168.286608,0.9352109669247305,2.3450206668393796,48.0,10.0,42
Aggressive (100%),-2253.3552236646015,45073.953343269204,47327.3085669338,0.464260443754221,-2253.8194840880847,220.01759132114154,246.1056056171069,216.956352,0.936653208733949,2.3213022187711045,48.0,10.0,123
Aggressive (100%),-15410.738930604935,22147.41726645326,37558.1561970582,0.3810105036012206,-15411.119941095723,151.834146071779,227.94002419122313,148.42603200000002,0.6425938056900456,1.9050525180061026,48.0,10.0,456
Aggressive (100%),-5199.683051339166,48879.29047331508,54078.97352465425,0.5121913351210915,-5200.195242651638,223.34395927377955,224.5768891139954,220.48243200000002,1.1002703779970031,2.5609566756054574,48.0,10.0,789
Aggressive (100%),-18725.578266904562,57114.791104216165,75840.36937112073,0.45318587075235284,-18726.031452755946,210.48586337531592,243.24958388875825,207.37847999999994,0.9166578087858903,2.265929353761764,48.0,10.0,1024
Price-Aware,885.2019830946853,20770.018001757486,19884.816018662805,0.5424108572289607,884.6595722541446,171.02222059833008,136.47309228214812,168.286608,1.3184817889942795,2.712054286144803,48.0,10.0,42
Price-Aware,9522.280772449592,44773.47895269464,35251.19818024505,0.5354719248044708,9521.745300543858,218.242578582742,180.44995477690088,216.956352,1.2466761456573021,2.6773596240223534,48.0,10.0,123
Price-Aware,-5306.0734934529055,22011.82454004213,27317.898033495032,0.49215985356291664,-5306.565653289481,151.37102378027194,166.14644066120377,148.42603200000002,0.8857128697086646,2.460799267814583,48.0,10.0,456
Price-Aware,7585.204000994988,48552.75743074869,40967.55342975371,0.6024064082268774,7584.6015946076195,222.9680631358388,165.44710161842403,220.48243200000002,1.4520636585584523,3.012032041134387,48.0,10.0,789
Price-Aware,315.47511643310315,56910.71148693086,56595.23637049777,0.4840262866268774,314.991090164056,209.87819497583874,183.89020206447756,207.37847999999994,1.185060414681759,2.420131433134387,48.0,10.0,1024
